Emin [MeV/n]	Emid [MeV/n]	Emax [MeV/n]	Flux [#/(s*sr*cm^2*MeV/n)]
1.00000000E+01	1.00577306E+01	1.01157945E+01	2.84578819E-06
1.01157945E+01	1.01741937E+01	1.02329299E+01	2.90314993E-06
1.02329299E+01	1.02920053E+01	1.03514217E+01	2.96156295E-06
1.03514217E+01	1.04111811E+01	1.04712855E+01	3.02104383E-06
1.04712855E+01	1.05317369E+01	1.05925373E+01	3.08160935E-06
1.05925373E+01	1.06536886E+01	1.07151931E+01	3.14327650E-06
1.07151931E+01	1.07770525E+01	1.08392691E+01	3.20606245E-06
1.08392691E+01	1.09018449E+01	1.09647820E+01	3.26998456E-06
1.09647820E+01	1.10280823E+01	1.10917482E+01	3.33506041E-06
1.10917482E+01	1.11557815E+01	1.12201845E+01	3.40130776E-06
1.12201845E+01	1.12849594E+01	1.13501082E+01	3.46874457E-06
1.13501082E+01	1.14156330E+01	1.14815362E+01	3.53738900E-06
1.14815362E+01	1.15478198E+01	1.16144861E+01	3.60725942E-06
1.16144861E+01	1.16815373E+01	1.17489755E+01	3.67837438E-06
1.17489755E+01	1.18168031E+01	1.18850223E+01	3.75075265E-06
1.18850223E+01	1.19536353E+01	1.20226443E+01	3.82441317E-06
1.20226443E+01	1.20920518E+01	1.21618600E+01	3.89937510E-06
1.21618600E+01	1.22320712E+01	1.23026877E+01	3.97565781E-06
1.23026877E+01	1.23737119E+01	1.24451461E+01	4.05328083E-06
1.24451461E+01	1.25169927E+01	1.25892541E+01	4.13226393E-06
1.25892541E+01	1.26619327E+01	1.27350308E+01	4.21262705E-06
1.27350308E+01	1.28085509E+01	1.28824955E+01	4.29439034E-06
1.28824955E+01	1.29568670E+01	1.30316678E+01	4.37757415E-06
1.30316678E+01	1.31069004E+01	1.31825674E+01	4.46219902E-06
1.31825674E+01	1.32586712E+01	1.33352143E+01	4.54828569E-06
1.33352143E+01	1.34121994E+01	1.34896288E+01	4.63585510E-06
1.34896288E+01	1.35675053E+01	1.36458314E+01	4.72492838E-06
1.36458314E+01	1.37246096E+01	1.38038426E+01	4.81552686E-06
1.38038426E+01	1.38835331E+01	1.39636836E+01	4.90767204E-06
1.39636836E+01	1.40442968E+01	1.41253754E+01	5.00138566E-06
1.41253754E+01	1.42069221E+01	1.42889396E+01	5.09668960E-06
1.42889396E+01	1.43714305E+01	1.44543977E+01	5.19360596E-06
1.44543977E+01	1.45378439E+01	1.46217717E+01	5.29215704E-06
1.46217717E+01	1.47061842E+01	1.47910839E+01	5.39236528E-06
1.47910839E+01	1.48764737E+01	1.49623566E+01	5.49425337E-06
1.49623566E+01	1.50487352E+01	1.51356125E+01	5.59784413E-06
1.51356125E+01	1.52229913E+01	1.53108746E+01	5.70316059E-06
1.53108746E+01	1.53992653E+01	1.54881662E+01	5.81022596E-06
1.54881662E+01	1.55775803E+01	1.56675107E+01	5.91906363E-06
1.56675107E+01	1.57579602E+01	1.58489319E+01	6.02969716E-06
1.58489319E+01	1.59404288E+01	1.60324539E+01	6.14215030E-06
1.60324539E+01	1.61250103E+01	1.62181010E+01	6.25644694E-06
1.62181010E+01	1.63117291E+01	1.64058977E+01	6.37261119E-06
1.64058977E+01	1.65006100E+01	1.65958691E+01	6.49066729E-06
1.65958691E+01	1.66916781E+01	1.67880402E+01	6.61063967E-06
1.67880402E+01	1.68849586E+01	1.69824365E+01	6.73255290E-06
1.69824365E+01	1.70804772E+01	1.71790839E+01	6.85643174E-06
1.71790839E+01	1.72782598E+01	1.73780083E+01	6.98230108E-06
1.73780083E+01	1.74783326E+01	1.75792361E+01	7.11018599E-06
1.75792361E+01	1.76807222E+01	1.77827941E+01	7.24011167E-06
1.77827941E+01	1.78854553E+01	1.79887092E+01	7.37210349E-06
1.79887092E+01	1.80925591E+01	1.81970086E+01	7.50618693E-06
1.81970086E+01	1.83020611E+01	1.84077200E+01	7.64238767E-06
1.84077200E+01	1.85139889E+01	1.86208714E+01	7.78073146E-06
1.86208714E+01	1.87283708E+01	1.88364909E+01	7.92124424E-06
1.88364909E+01	1.89452351E+01	1.90546072E+01	8.06395205E-06
1.90546072E+01	1.91646106E+01	1.92752491E+01	8.20888107E-06
1.92752491E+01	1.93865264E+01	1.94984460E+01	8.35605759E-06
1.94984460E+01	1.96110118E+01	1.97242274E+01	8.50550802E-06
1.97242274E+01	1.98380966E+01	1.99526231E+01	8.65725890E-06
1.99526231E+01	2.00678109E+01	2.01836636E+01	8.81133686E-06
2.01836636E+01	2.03001852E+01	2.04173794E+01	8.96776864E-06
2.04173794E+01	2.05352503E+01	2.06538016E+01	9.12658107E-06
2.06538016E+01	2.07730373E+01	2.08929613E+01	9.28780110E-06
2.08929613E+01	2.10135777E+01	2.11348904E+01	9.45145573E-06
2.11348904E+01	2.12569035E+01	2.13796209E+01	9.61757208E-06
2.13796209E+01	2.15030468E+01	2.16271852E+01	9.78617732E-06
2.16271852E+01	2.17520403E+01	2.18776162E+01	9.95729870E-06
2.18776162E+01	2.20039171E+01	2.21309471E+01	1.01309635E-05
2.21309471E+01	2.22587104E+01	2.23872114E+01	1.03071992E-05
2.23872114E+01	2.25164542E+01	2.26464431E+01	1.04860332E-05
2.26464431E+01	2.27771824E+01	2.29086765E+01	1.06674928E-05
2.29086765E+01	2.30409298E+01	2.31739465E+01	1.08516058E-05
2.31739465E+01	2.33077312E+01	2.34422882E+01	1.10383995E-05
2.34422882E+01	2.35776220E+01	2.37137371E+01	1.12279017E-05
2.37137371E+01	2.38506380E+01	2.39883292E+01	1.14201398E-05
2.39883292E+01	2.41268153E+01	2.42661010E+01	1.16151415E-05
2.42661010E+01	2.44061907E+01	2.45470892E+01	1.18129343E-05
2.45470892E+01	2.46888010E+01	2.48313311E+01	1.20135460E-05
2.48313311E+01	2.49746839E+01	2.51188643E+01	1.22170041E-05
2.51188643E+01	2.52638771E+01	2.54097271E+01	1.24233362E-05
2.54097271E+01	2.55564190E+01	2.57039578E+01	1.26325698E-05
2.57039578E+01	2.58523484E+01	2.60015956E+01	1.28447324E-05
